max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,1,2,DoublingTime,CTX,2,3,0.584433101,0.520123531,0.156056835,0.14742837
1,30,1,2,GrowthYield,CTX,2,3,0.648847643,0.621807478,1.592976801,1.443180355
1,30,1,2,DoublingTime,KAN,4,1,0.370041487,0.107603,0.105535303,0.108289762
1,30,1,2,GrowthYield,KAN,4,1,0.409672332,0.24593717,0.417988072,0.440888436
1,30,1,2,DoublingTime,KAN,8,2,0.526905195,0.406888424,0.150675439,0.16674858
1,30,1,2,GrowthYield,KAN,8,2,0.538910065,0.523939841,0.834259692,0.884408683
1,30,1,2,DoublingTime,KAN,16,3,0.56204905,0.559846251,0.248813763,0.276384763
1,30,1,2,GrowthYield,KAN,16,3,0.53636561,0.554699622,1.339985976,1.418081763
1,30,1,2,DoublingTime,TET,0.3,1,0.489721547,0.372929402,0.155375353,0.16942214
1,30,1,2,GrowthYield,TET,0.3,1,0.448025728,0.320065146,0.374914033,0.39616823
1,30,1,2,DoublingTime,TET,0.6,2,0.432276032,0.197576386,0.22329092,0.243977059
1,30,1,2,GrowthYield,TET,0.6,2,0.475231801,0.393255991,0.85651969,0.907170249
1,30,1,2,DoublingTime,TET,1.25,3,0.552203462,0.542093152,0.342069374,0.379172666
1,30,1,2,GrowthYield,TET,1.25,3,0.489575125,0.366146744,1.445003856,1.517627427
1,30,1,2,DoublingTime,TRIM,0.125,1,0.462502377,0.329984725,0.155969027,0.161844651
1,30,1,2,GrowthYield,TRIM,0.125,1,0.541044475,0.362008884,0.663724638,0.713887878
1,30,1,2,DoublingTime,TRIM,0.25,2,0.521729577,0.421118392,0.156062639,0.156203876
1,30,1,2,GrowthYield,TRIM,0.25,2,0.536908487,0.28885511,0.912532662,0.971312364
1,30,1,2,DoublingTime,TRIM,0.5,3,0.430428177,0.196450529,0.16379845,0.173040444
1,30,1,2,GrowthYield,TRIM,0.5,3,0.539988214,0.411595676,1.267274888,1.36928005
1,30,1,3,DoublingTime,NoAntimicrbial,NA,2,0.49600114,0.264375127,0.255849225,0.254556073
1,30,1,3,GrowthYield,NoAntimicrbial,NA,2,0.484185544,0.151383078,0.564649913,0.599754689
1,30,1,3,DoublingTime,CAM,0.5,1,0.276686366,0.134847576,0.132258752,0.133719545
1,30,1,3,GrowthYield,CAM,0.5,1,0.37605526,0.324702241,0.210470108,0.206535036
1,30,1,3,DoublingTime,CAM,1,2,0.360168879,0.055418815,0.131199164,0.129601327
1,30,1,3,GrowthYield,CAM,1,2,0.414396944,0.348340167,0.306955229,0.321065798
1,30,1,3,DoublingTime,CAM,2,3,0.462302017,0.287945865,0.201864562,0.203555558
1,30,1,3,GrowthYield,CAM,2,3,0.491603411,0.434229085,0.56963767,0.581855088
1,30,1,3,DoublingTime,CIP,0.002,1,0.36830014,0.231953515,0.116829986,0.118274821
1,30,1,3,GrowthYield,CIP,0.002,1,0.411056204,0.064325473,0.220256761,0.246645197
1,30,1,3,DoublingTime,CIP,0.004,2,0.459847,0.272740633,0.161717451,0.16290729
1,30,1,3,GrowthYield,CIP,0.004,2,0.447917484,0.317573814,0.487836729,0.509146098
1,30,1,3,DoublingTime,CIP,0.008,3,0.358868612,0.138715408,0.115020419,0.125770404
1,30,1,3,GrowthYield,CIP,0.008,3,0.652858222,0.540839774,0.784836612,0.759280073
1,30,1,3,DoublingTime,CTX,0.5,1,0.485535932,0.298170465,0.130869861,0.156164739
1,30,1,3,GrowthYield,CTX,0.5,1,0.661729911,0.615161524,1.291661909,1.334071854
1,30,1,3,DoublingTime,CTX,1,2,0.467873171,0.266695331,0.118985457,0.14293999
1,30,1,3,GrowthYield,CTX,1,2,0.655264415,0.6245071,1.39828263,1.462856071
1,30,1,3,DoublingTime,CTX,2,3,0.588320331,0.440760158,0.14788967,0.176884693
1,30,1,3,GrowthYield,CTX,2,3,0.651073687,0.613219434,1.522724857,1.641044472
1,30,1,3,DoublingTime,KAN,4,1,0.38102502,0.020268398,0.104884085,0.111155035
1,30,1,3,GrowthYield,KAN,4,1,0.440794777,0.189751381,0.411981718,0.460865946
1,30,1,3,DoublingTime,KAN,8,2,0.545407377,0.389481236,0.152542902,0.154404375
1,30,1,3,GrowthYield,KAN,8,2,0.565062061,0.388982355,0.829306078,0.889709177
1,30,1,3,DoublingTime,KAN,16,3,0.594932167,0.459628996,0.25243113,0.258505058
1,30,1,3,GrowthYield,KAN,16,3,0.568985363,0.384604923,1.352435895,1.388964432
1,30,1,3,DoublingTime,TET,0.3,1,0.512169761,0.344046409,0.153759998,0.171095417
1,30,1,3,GrowthYield,TET,0.3,1,0.493210835,0.280631452,0.372385361,0.405105262
1,30,1,3,DoublingTime,TET,0.6,2,0.42053296,0.180015856,0.230761235,0.224412806
1,30,1,3,GrowthYield,TET,0.6,2,0.495847471,0.365965719,0.858817667,0.892408057
1,30,1,3,DoublingTime,TET,1.25,3,0.586224099,0.49779769,0.348407934,0.347488541
1,30,1,3,GrowthYield,TET,1.25,3,0.487204645,0.345112303,1.432547461,1.537378697
1,30,1,3,DoublingTime,TRIM,0.125,1,0.445121632,0.327984014,0.15595999,0.167097158
