alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1.00E-05,2,GrowthYield,CTX,1,2,0.999995988,0.585534066,0.001484279,1.638225095
1.00E-05,2,DoublingTime,CTX,2,3,0.999953594,0.456128442,0.001352791,0.171927685
1.00E-05,2,GrowthYield,CTX,2,3,0.999997206,0.577587215,0.001542342,1.792941226
1.00E-05,2,DoublingTime,KAN,4,1,0.99989617,0.129624749,0.001390735,0.144662353
1.00E-05,2,GrowthYield,KAN,4,1,0.999985409,0.364194649,0.001404427,0.500799943
1.00E-05,2,DoublingTime,KAN,8,2,0.999947566,0.33058521,0.001341688,0.200577195
1.00E-05,2,GrowthYield,KAN,8,2,0.999995429,0.50703356,0.001457185,0.915329781
1.00E-05,2,DoublingTime,KAN,16,3,0.999975968,0.50934361,0.001363622,0.301481287
1.00E-05,2,GrowthYield,KAN,16,3,0.999997844,0.445052295,0.001460259,1.520046363
1.00E-05,2,DoublingTime,TET,0.3,1,0.999953753,0.274384154,0.001369669,0.213833261
1.00E-05,2,GrowthYield,TET,0.3,1,0.999982236,0.400165508,0.00138942,0.440423452
1.00E-05,2,DoublingTime,TET,0.6,2,0.999971478,0.178616865,0.001385735,0.301732049
1.00E-05,2,GrowthYield,TET,0.6,2,0.99999507,0.459140551,0.001430389,0.949354035
1.00E-05,2,DoublingTime,TET,1.25,3,0.999987505,0.513540442,0.001355005,0.385664433
1.00E-05,2,GrowthYield,TET,1.25,3,0.999997226,0.488289886,0.001522644,1.463288774
1.00E-05,2,DoublingTime,TRIM,0.125,1,0.999946268,0.248922231,0.001387276,0.210669418
1.00E-05,2,GrowthYield,TRIM,0.125,1,0.999993912,0.460949208,0.001432618,0.742202964
1.00E-05,2,DoublingTime,TRIM,0.25,2,0.999947406,0.35996464,0.001332471,0.193552741
1.00E-05,2,GrowthYield,TRIM,0.25,2,0.999995848,0.430957617,0.00143786,1.00805145
1.00E-05,2,DoublingTime,TRIM,0.5,3,0.999959023,0.185424476,0.001324764,0.222624971
1.00E-05,2,GrowthYield,TRIM,0.5,3,0.999996806,0.53463858,0.001444382,1.285958299
1.00E-05,3,DoublingTime,NoAntimicrbial,NA,2,0.999977963,0.272992136,0.001296726,0.306467159
1.00E-05,3,GrowthYield,NoAntimicrbial,NA,2,0.999990732,0.295173014,0.001441264,0.698986976
1.00E-05,3,DoublingTime,CAM,0.5,1,0.999925635,0.120170581,0.001361682,0.178931006
1.00E-05,3,GrowthYield,CAM,0.5,1,0.999969232,0.155935705,0.001269693,0.286033007
1.00E-05,3,DoublingTime,CAM,1,2,0.999941745,0.115976376,0.001347186,0.170996757
1.00E-05,3,GrowthYield,CAM,1,2,0.999983094,0.290897684,0.00128973,0.378067198
1.00E-05,3,DoublingTime,CAM,2,3,0.999967482,0.128716914,0.001330433,0.273177815
1.00E-05,3,GrowthYield,CAM,2,3,0.999993417,0.411643176,0.001340359,0.667435191
1.00E-05,3,DoublingTime,CIP,0.002,1,0.999912827,0.208000087,0.001367328,0.154387473
1.00E-05,3,GrowthYield,CIP,0.002,1,0.999970604,0.092396348,0.001373768,0.315489879
1.00E-05,3,DoublingTime,CIP,0.004,2,0.999963882,0.170730349,0.001330804,0.211563497
1.00E-05,3,GrowthYield,CIP,0.004,2,0.999991209,0.280219364,0.001348434,0.595808982
1.00E-05,3,DoublingTime,CIP,0.008,3,0.999907397,0.200608444,0.001302951,0.162034837
1.00E-05,3,GrowthYield,CIP,0.008,3,0.999995465,0.364088849,0.00140367,0.995948641
1.00E-05,3,DoublingTime,CTX,0.5,1,0.999942501,0.258477647,0.001272686,0.180322523
1.00E-05,3,GrowthYield,CTX,0.5,1,0.999996758,0.544108644,0.001496746,1.479721801
1.00E-05,3,DoublingTime,CTX,1,2,0.999922731,0.301804238,0.001379839,0.163463914
1.00E-05,3,GrowthYield,CTX,1,2,0.999996778,0.581143658,0.001449312,1.498437793
1.00E-05,3,DoublingTime,CTX,2,3,0.999958134,0.411487956,0.001305282,0.20186913
1.00E-05,3,GrowthYield,CTX,2,3,0.999997196,0.575653063,0.001432395,1.723450422
1.00E-05,3,DoublingTime,KAN,4,1,0.999903081,0.1611813,0.001279677,0.141898726
1.00E-05,3,GrowthYield,KAN,4,1,0.999991189,0.301821004,0.001308889,0.567062619
1.00E-05,3,DoublingTime,KAN,8,2,0.999947553,0.23476295,0.001331052,0.208133474
1.00E-05,3,GrowthYield,KAN,8,2,0.999995644,0.385445489,0.001372198,0.954377432
1.00E-05,3,DoublingTime,KAN,16,3,0.99997854,0.360673993,0.001317017,0.317856587
1.00E-05,3,GrowthYield,KAN,16,3,0.99999819,0.385007409,0.001441608,1.478554674
1.00E-05,3,DoublingTime,TET,0.3,1,0.999954594,0.206706941,0.00129123,0.218800402
1.00E-05,3,GrowthYield,TET,0.3,1,0.999983174,0.408618806,0.001370858,0.414143973
1.00E-05,3,DoublingTime,TET,0.6,2,0.999973866,0.295177882,0.001330442,0.263111803
1.00E-05,3,GrowthYield,TET,0.6,2,0.99999644,0.464670791,0.00143529,0.936059477
1.00E-05,3,DoublingTime,TET,1.25,3,0.999988544,0.575721208,0.001297593,0.370156748
1.00E-05,3,GrowthYield,TET,1.25,3,0.999997335,0.525459983,0.001492262,1.394877256
1.00E-05,3,DoublingTime,TRIM,0.125,1,0.999949343,0.386095577,0.001391707,0.181188612
1.00E-05,3,GrowthYield,TRIM,0.125,1,0.999993914,0.456903806,0.001354852,0.746777077
1.00E-05,3,DoublingTime,TRIM,0.25,2,0.999955847,0.37740538,0.00129432,0.187966998
1.00E-05,3,GrowthYield,TRIM,0.25,2,0.999995565,0.495141105,0.001362573,0.993729389
