max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,0.8,2,GrowthYield,CTX,0.5,1,0.75901678,0.751076412,1.07423308,1.071037501
1,30,0.8,2,DoublingTime,CTX,1,2,0.415034283,0.277545524,0.124818392,0.116844796
1,30,0.8,2,GrowthYield,CTX,1,2,0.77845345,0.75345758,1.115782001,1.115698527
1,30,0.8,2,DoublingTime,CTX,2,3,0.57819403,0.528481615,0.150106983,0.14346576
1,30,0.8,2,GrowthYield,CTX,2,3,0.777109085,0.775222343,1.22496848,1.179454832
1,30,0.8,2,DoublingTime,KAN,4,1,0.222563773,0.053311296,0.108470786,0.108429863
1,30,0.8,2,GrowthYield,KAN,4,1,0.33458426,0.336609908,0.422173959,0.42653953
1,30,0.8,2,DoublingTime,KAN,8,2,0.446631135,0.472187615,0.152768702,0.161470183
1,30,0.8,2,GrowthYield,KAN,8,2,0.488319932,0.574318608,0.813374938,0.826655138
1,30,0.8,2,DoublingTime,KAN,16,3,0.544066378,0.57482789,0.248956397,0.269813311
1,30,0.8,2,GrowthYield,KAN,16,3,0.513263717,0.601758211,1.243559291,1.30532722
1,30,0.8,2,DoublingTime,TET,0.3,1,0.451561496,0.41965453,0.154695876,0.162830015
1,30,0.8,2,GrowthYield,TET,0.3,1,0.549080765,0.516572046,0.339416793,0.354500954
1,30,0.8,2,DoublingTime,TET,0.6,2,0.363694901,0.399912078,0.225970232,0.240536195
1,30,0.8,2,GrowthYield,TET,0.6,2,0.638654255,0.557824428,0.713623557,0.788962408
1,30,0.8,2,DoublingTime,TET,1.25,3,0.674527796,0.62554842,0.296394612,0.340771365
1,30,0.8,2,GrowthYield,TET,1.25,3,0.660969909,0.590486845,1.127447127,1.215038448
1,30,0.8,2,DoublingTime,TRIM,0.125,1,0.395514064,0.263743268,0.160033381,0.165051379
1,30,0.8,2,GrowthYield,TRIM,0.125,1,0.541789942,0.551879497,0.632493326,0.647779736
1,30,0.8,2,DoublingTime,TRIM,0.25,2,0.47071976,0.471232072,0.156986938,0.15529551
1,30,0.8,2,GrowthYield,TRIM,0.25,2,0.565283571,0.53237021,0.850549513,0.856256969
1,30,0.8,2,DoublingTime,TRIM,0.5,3,0.348213749,0.26864791,0.16834718,0.169484905
1,30,0.8,2,GrowthYield,TRIM,0.5,3,0.594652532,0.597073367,1.130931714,1.149016186
1,30,0.8,3,DoublingTime,NoAntimicrbial,NA,2,0.370577933,0.218495523,0.277451747,0.267047717
1,30,0.8,3,GrowthYield,NoAntimicrbial,NA,2,0.327983605,0.190843218,0.602745583,0.615710233
1,30,0.8,3,DoublingTime,CAM,0.5,1,0.182062506,0.174937627,0.13563878,0.133464642
1,30,0.8,3,GrowthYield,CAM,0.5,1,0.391799556,0.349704017,0.209298825,0.204077348
1,30,0.8,3,DoublingTime,CAM,1,2,0.233495334,0.066930274,0.133262339,0.128019127
1,30,0.8,3,GrowthYield,CAM,1,2,0.393003712,0.358408023,0.303158652,0.312755304
1,30,0.8,3,DoublingTime,CAM,2,3,0.318989056,0.266055451,0.205081399,0.202295733
1,30,0.8,3,GrowthYield,CAM,2,3,0.487781249,0.44016489,0.553592848,0.581288867
1,30,0.8,3,DoublingTime,CIP,0.002,1,0.252384307,0.275923326,0.121560503,0.120612329
1,30,0.8,3,GrowthYield,CIP,0.002,1,0.229382097,0.227631514,0.228032653,0.241979567
1,30,0.8,3,DoublingTime,CIP,0.004,2,0.239761424,0.218649787,0.170803614,0.165853121
1,30,0.8,3,GrowthYield,CIP,0.004,2,0.32150483,0.244741612,0.516345568,0.519545696
1,30,0.8,3,DoublingTime,CIP,0.008,3,0.173166834,0.218388112,0.118272537,0.124125983
1,30,0.8,3,GrowthYield,CIP,0.008,3,0.582406424,0.553817857,0.837486509,0.773314795
1,30,0.8,3,DoublingTime,CTX,0.5,1,0.403005708,0.351774795,0.133666406,0.153962982
1,30,0.8,3,GrowthYield,CTX,0.5,1,0.759538575,0.73705873,1.060183257,1.092774447
1,30,0.8,3,DoublingTime,CTX,1,2,0.40329991,0.376833537,0.118326773,0.138616626
1,30,0.8,3,GrowthYield,CTX,1,2,0.773751236,0.754808079,1.120166149,1.170267184
1,30,0.8,3,DoublingTime,CTX,2,3,0.587566941,0.461245625,0.14399611,0.166580657
1,30,0.8,3,GrowthYield,CTX,2,3,0.766893364,0.699822652,1.204060844,1.262821967
1,30,0.8,3,DoublingTime,KAN,4,1,0.227134945,-0.06780177,0.108247655,0.110815437
1,30,0.8,3,GrowthYield,KAN,4,1,0.334891025,0.323570197,0.419379438,0.4369108
1,30,0.8,3,DoublingTime,KAN,8,2,0.444693921,0.434801277,0.154764164,0.15420558
1,30,0.8,3,GrowthYield,KAN,8,2,0.526344328,0.463473111,0.80933352,0.831276201
